benchmark,width,Xwidth,XDwidth
./benchmarks/concom/grids/problog_format/grid_8_7_3_48.pl,11,52,16
./benchmarks/concom/grids/problog_format/grid_7_2_2_12.pl,4,13,4
./benchmarks/concom/grids/problog_format/grid_6_6_1_12.pl,9,13,9
./benchmarks/concom/grids/problog_format/grid_7_9_1_12.pl,11,13,11
./benchmarks/concom/grids/problog_format/grid_4_5_4_43.pl,6,45,6
./benchmarks/concom/grids/problog_format/grid_9_10_4_75.pl,14,77,23
./benchmarks/concom/grids/problog_format/grid_2_10_5_24.pl,4,25,4
./benchmarks/concom/grids/problog_format/grid_5_5_4_56.pl,7,58,7
./benchmarks/concom/grids/problog_format/grid_5_3_3_28.pl,5,29,6
./benchmarks/concom/grids/problog_format/grid_3_9_5_42.pl,5,44,6
./benchmarks/concom/grids/problog_format/grid_6_10_5_96.pl,11,99,12
./benchmarks/concom/grids/problog_format/grid_8_4_2_27.pl,7,29,11
./benchmarks/concom/grids/problog_format/grid_4_8_5_60.pl,7,62,8
./benchmarks/concom/grids/problog_format/grid_2_6_4_20.pl,4,21,4
./benchmarks/concom/grids/problog_format/grid_7_10_9_177.pl,12,180,12
./benchmarks/concom/grids/problog_format/grid_7_3_3_28.pl,5,30,6
./benchmarks/concom/grids/problog_format/grid_5_2_2_12.pl,4,13,4
./benchmarks/concom/grids/problog_format/grid_10_10_1_12.pl,16,16,16
./benchmarks/concom/grids/problog_format/grid_8_9_1_12.pl,13,13,13
./benchmarks/concom/grids/problog_format/grid_9_5_6_91.pl,8,94,10
./benchmarks/concom/grids/problog_format/grid_7_3_4_35.pl,5,37,6
./benchmarks/concom/grids/problog_format/grid_7_2_6_25.pl,4,26,4
./benchmarks/concom/grids/problog_format/grid_3_6_2_21.pl,5,22,6
./benchmarks/concom/grids/problog_format/grid_3_2_0_3.pl,4,4,4
./benchmarks/concom/grids/problog_format/grid_5_8_6_91.pl,8,94,10
./benchmarks/concom/grids/problog_format/grid_5_10_2_27.pl,9,30,12
./benchmarks/concom/grids/problog_format/grid_3_9_2_21.pl,5,22,5
./benchmarks/concom/grids/problog_format/grid_10_7_6_133.pl,12,137,13
./benchmarks/concom/grids/problog_format/grid_7_6_6_101.pl,9,104,9
./benchmarks/concom/grids/problog_format/grid_6_5_4_65.pl,8,67,9
./benchmarks/concom/grids/problog_format/grid_9_6_3_48.pl,10,51,16
./benchmarks/concom/grids/problog_format/grid_5_9_5_78.pl,8,81,10
./benchmarks/concom/grids/problog_format/grid_7_4_6_63.pl,6,65,6
./benchmarks/concom/grids/problog_format/grid_6_3_0_3.pl,5,5,5
./benchmarks/concom/grids/problog_format/grid_3_10_0_3.pl,5,5,5
./benchmarks/concom/grids/problog_format/grid_9_9_0_3.pl,13,13,13
./benchmarks/concom/grids/problog_format/grid_6_3_2_21.pl,5,22,6
./benchmarks/concom/grids/problog_format/grid_7_3_5_42.pl,5,44,5
./benchmarks/concom/grids/problog_format/grid_6_5_5_69.pl,8,71,8
./benchmarks/concom/grids/problog_format/grid_10_6_5_96.pl,11,99,11
./benchmarks/concom/grids/problog_format/grid_8_5_5_78.pl,8,81,10
./benchmarks/concom/grids/problog_format/grid_7_2_1_8.pl,4,9,4
./benchmarks/concom/grids/problog_format/grid_9_9_4_75.pl,13,79,18
./benchmarks/concom/grids/problog_format/grid_7_5_0_3.pl,8,8,8
./benchmarks/concom/grids/problog_format/grid_8_3_4_35.pl,5,36,6
./benchmarks/concom/grids/problog_format/grid_5_2_1_8.pl,4,9,4
./benchmarks/concom/grids/problog_format/grid_10_4_8_90.pl,6,92,8
./benchmarks/concom/grids/problog_format/grid_10_7_5_108.pl,12,112,31
./benchmarks/concom/grids/problog_format/grid_9_9_8_208.pl,13,212,13
./benchmarks/concom/grids/problog_format/grid_2_8_6_28.pl,4,29,4
./benchmarks/concom/grids/problog_format/grid_7_2_0_3.pl,4,4,4
./benchmarks/concom/grids/problog_format/grid_5_4_0_3.pl,6,6,6
./benchmarks/concom/grids/problog_format/grid_9_4_8_83.pl,6,86,6
./benchmarks/concom/grids/problog_format/grid_3_4_2_21.pl,5,22,6
./benchmarks/concom/grids/problog_format/grid_10_5_5_78.pl,9,80,10
./benchmarks/concom/grids/problog_format/grid_2_9_8_33.pl,4,34,4
./benchmarks/concom/grids/problog_format/grid_9_6_8_133.pl,10,135,10
./benchmarks/concom/grids/problog_format/grid_4_7_6_63.pl,6,64,6
./benchmarks/concom/grids/problog_format/grid_8_9_5_108.pl,13,113,33
./benchmarks/concom/grids/problog_format/grid_10_9_6_147.pl,14,153,40
./benchmarks/concom/grids/problog_format/grid_7_10_1_12.pl,12,14,12
./benchmarks/concom/grids/problog_format/grid_2_6_1_8.pl,4,9,4
./benchmarks/concom/grids/problog_format/grid_4_4_0_3.pl,6,6,6
./benchmarks/concom/grids/problog_format/grid_3_4_3_23.pl,4,24,4
./benchmarks/concom/grids/problog_format/grid_4_9_7_80.pl,6,82,8
./benchmarks/concom/grids/problog_format/grid_4_5_1_12.pl,6,13,8
./benchmarks/concom/grids/problog_format/grid_7_7_2_27.pl,10,29,10
./benchmarks/concom/grids/problog_format/grid_10_8_9_205.pl,14,208,14
./benchmarks/concom/grids/problog_format/grid_3_8_4_35.pl,5,36,6
./benchmarks/concom/grids/problog_format/grid_8_8_0_3.pl,12,12,12
./benchmarks/concom/grids/problog_format/grid_2_10_1_8.pl,4,9,4
./benchmarks/concom/grids/problog_format/grid_9_2_8_33.pl,4,34,4
./benchmarks/concom/grids/problog_format/grid_7_7_4_75.pl,10,78,24
./benchmarks/concom/grids/problog_format/grid_10_4_1_12.pl,7,13,8
./benchmarks/concom/grids/problog_format/grid_4_10_0_3.pl,7,7,7
./benchmarks/concom/grids/problog_format/grid_9_8_1_12.pl,13,14,13
./benchmarks/concom/grids/problog_format/grid_2_2_0_3.pl,3,4,4
./benchmarks/concom/grids/problog_format/grid_8_6_4_75.pl,9,78,22
./benchmarks/concom/grids/problog_format/grid_10_6_7_128.pl,10,132,13
./benchmarks/concom/grids/problog_format/grid_6_4_5_53.pl,6,55,6
./benchmarks/concom/grids/problog_format/grid_9_6_2_27.pl,11,30,12
./benchmarks/concom/grids/problog_format/grid_2_8_5_24.pl,4,25,4
./benchmarks/concom/grids/problog_format/grid_7_5_2_27.pl,8,29,10
./benchmarks/concom/grids/problog_format/grid_2_8_1_8.pl,4,9,4
./benchmarks/concom/grids/problog_format/grid_10_6_8_144.pl,10,148,12
./benchmarks/concom/grids/problog_format/grid_4_3_1_12.pl,5,13,8
./benchmarks/concom/grids/problog_format/grid_6_2_2_12.pl,4,13,4
